time,xcoord,ycoord,depth
0.016666667,5,20,0
0.016666667,12,18,0.067
0.016666667,1,13,0
0.016666667,7,5,0.001
0.016666667,11,10,0
0.016666667,2,14,0
0.016666667,9,8,0.067
0.016666667,9,12,0
0.016666667,8,15,0
0.016666667,1,4,0
0.016666667,14,21,0
0.016666667,7,24,0.067
0.016666667,14,17,0.001
0.016666667,3,16,0.067
0.016666667,7,18,0
0.016666667,11,7,0.007
0.016666667,19,23,0
0.016666667,6,20,0
0.016666667,19,16,0.067
0.016666667,12,2,0.059
0.016666667,8,17,0.001
0.016666667,20,4,0
0.016666667,13,3,0
0.016666667,9,7,0
0.016666667,7,21,0.065
0.016666667,12,23,0.058
0.016666667,5,7,0
0.016666667,2,20,0
0.016666667,0,23,0.062
0.016666667,4,23,0
0.016666667,8,11,0
0.016666667,5,16,0.067
0.016666667,14,10,0.065
0.016666667,1,8,0.058
0.016666667,8,14,0.001
0.016666667,3,0,0.066
0.016666667,16,0,0.066
0.016666667,16,11,0
0.016666667,12,20,0.067
0.016666667,3,17,0
0.016666667,11,2,0.009
0.016666667,2,1,0
0.016666667,13,20,0
0.016666667,8,5,0
0.016666667,2,7,0
0.016666667,11,24,0.063
0.016666667,6,9,0.001
0.016666667,10,2,0.061
0.016666667,9,9,0
0.016666667,15,9,0
0.016666667,18,24,0.067
0.016666667,22,10,0.066
0.016666667,6,11,0
0.016666667,0,21,0.067
0.016666667,18,0,0.066
0.016666667,5,6,0.065
0.016666667,4,11,0
0.016666667,18,13,0
0.016666667,1,19,0
0.016666667,20,13,0
0.016666667,13,12,0
0.016666667,2,0,0.066
0.016666667,19,0,0.066
0.016666667,9,24,0.067
0.016666667,2,11,0.065
0.016666667,6,19,0
0.016666667,3,23,0
0.016666667,17,16,0.067
0.016666667,8,10,0.065
0.016666667,3,12,0.001
0.016666667,11,11,0
0.016666667,0,17,0.063
0.016666667,16,22,0
0.016666667,11,18,0
0.016666667,9,18,0.066
0.016666667,0,24,0
0.016666667,16,21,0
0.016666667,7,1,0
0.016666667,4,22,0.066
0.016666667,9,6,0.065
2,22,8,0.08
2,18,6,0.857
2,5,5,1.438
2,17,10,0.818
2,10,1,0.007
2,11,17,0.478
2,13,22,0
2,9,1,0.031
2,3,5,1.846
2,16,15,0
2,13,4,0
2,5,13,1.318
2,0,11,2.666
2,8,17,0.638
2,10,2,0.436
2,3,14,0.828
2,10,10,1.021
2,14,12,0.539
2,11,16,1.202
2,17,1,0.147
2,4,1,0.033
2,4,6,1.086
2,12,24,0.06
2,21,5,0
2,14,11,0.003
2,4,5,1.049
2,15,8,1.582
2,9,17,0.674
2,18,22,0.808
2,3,22,0.796
2,11,24,1.468
2,22,18,2.302
2,14,9,0.036
2,7,19,0.01
2,5,19,0
2,9,21,1.493
2,13,3,0
2,21,1,0.207
2,8,10,1.051
2,15,10,0.423
2,17,18,0.875
2,20,9,0.009
2,8,15,0
2,2,14,0.61
2,15,18,0.874
2,6,9,0.543
2,19,13,0.069
2,14,15,0
2,14,4,0.044
2,14,24,1.41
2,6,8,2.535
2,9,19,0
2,2,1,0
2,6,16,2.752
2,17,4,0
2,13,20,0
2,20,20,0.004
2,12,12,1.912
2,11,13,0.023
2,10,17,0.778
2,5,2,1.443
2,3,2,0.692
2,6,19,0
2,21,7,0.37
2,14,5,0.806
2,22,3,2.018
2,12,6,1.345
2,14,13,0.866
2,11,12,0
2,11,5,0.005
2,0,22,1.04
2,5,15,0
2,19,11,0
2,22,24,0.025
2,20,7,0
2,18,11,0
2,21,10,0.004
2,10,14,0.99
2,18,15,0
2,3,10,0.915
2,5,4,1.006
2,3,20,0.658
2,0,13,1.736
2,2,10,0.774
2,9,9,0.618
2,6,2,0.775
2,7,24,3.278
2,17,15,0
2,6,11,0
2,5,1,0.008
2,2,9,0.039
2,8,23,0
2,8,4,0.011
2,20,8,3.645
2,5,14,1.003
2,0,17,1.026
2,5,23,0
2,10,23,0
2,12,5,1.773
2,5,21,1.324
2,1,19,0
2,5,9,0.45
2,21,20,0
2,18,18,0.874
2,21,16,1.027
2,3,18,0.797
2,3,24,1.619
2,12,3,1.35
2,7,7,0
2,10,0,3.258
2,7,21,1.038
2,0,8,0.037
2,14,21,0.043
2,5,10,1.03
2,2,0,0.934
2,22,19,2.098
2,21,8,0.992
2,7,6,1.362
2,20,15,0
2,22,7,0.275
2,11,23,0.641
2,19,1,0.041
2,18,23,0
2,15,0,1.392
2,0,18,2.555
2,7,4,0.029
2,13,21,0
2,7,12,0.004
2,7,3,0
2,19,18,0.874
2,8,13,1.036
2,12,14,0.993
2,17,19,0
2,18,3,0
2,21,4,0
2,6,13,0.807
2,0,2,3.301
2,4,17,0.297
2,16,5,0.07
2,0,5,2.452
2,1,5,0
2,14,22,0.639
2,1,20,0
2,11,7,0.461
2,4,16,1.932
2,19,0,2.575
2,9,2,0.964
2,8,5,1.502
2,0,12,2.243
2,15,6,0.85
2,6,23,0
2,15,21,0.339
2,21,14,0.025
2,6,12,0.005
2,21,24,1.277
2,20,19,0
2,13,9,0.256
2,8,14,1.003
2,0,4,3.17
2,0,3,3.563
2,17,14,0.853
2,7,22,0.917
2,1,14,0
2,2,19,0
2,5,8,2.185
2,19,19,0
2,20,14,0.798
2,15,14,0.816
2,18,17,0.736
2,20,0,1.144
2,3,23,0
2,22,21,1.392
2,20,2,0.281
2,8,11,0.004
2,2,20,0
2,12,13,1.488
2,1,13,0
2,9,14,1.028
2,19,23,0
2,5,16,2.362
2,5,22,0.921
2,11,6,0.891
2,11,9,0.463
2,12,8,0.064
2,11,10,0.626
2,12,20,1.813
